"","gamePlayId","playSide","possessionTeam","ballCarrierId","defensiveTeam","nflId","edgeSetterId_atMaxChange","frames_from_start_atMaxChange","total_change_at_max_change","relative_total_change","max_EIR_atMaxChange","expectedPointsAdded","edge_intensity_rating","edge_intensity_rating_no_time"
"1","2022090800 1187","right","LA",47853,"BUF",47792,47792,9,12.8558241461799,12.8558241461799,82.3049427973336,-0.042901202,82.3049427973336,0.700643888692319
"2","2022090800 1187","right","LA",47853,"BUF",44976,47792,9,12.8558241461799,12.8558241461799,82.3049427973336,-0.042901202,60.1787630116763,0.555594033728811
"3","2022090800 1187","right","LA",47853,"BUF",53459,47792,9,12.8558241461799,12.8558241461799,82.3049427973336,-0.042901202,73.7958044551047,0.644861584907334
"4","2022090800 2043","right","BUF",47857,"LA",47917,43298,24,9.2161450864468,3.46385491355323,35.3460904349615,0.674549397,32.2218474474761,0.439284632476
"5","2022090800 2043","right","BUF",47857,"LA",43298,43298,24,9.2161450864468,3.46385491355323,35.3460904349615,0.674549397,35.3460904349615,0.459765845075532
"6","2022090800 2043","right","BUF",47857,"LA",43335,43298,24,9.2161450864468,3.46385491355323,35.3460904349615,0.674549397,34.0532046515639,0.451290233958616
"7","2022090800 2043","right","BUF",47857,"LA",38577,43298,24,9.2161450864468,3.46385491355323,35.3460904349615,0.674549397,33.3381150481619,0.446602409658887
"8","2022090800 299","left","LA",47853,"BUF",46085,47792,10,15.2395999726269,-9.20040002737306,59.717932637908,-0.105841165,54.8836425889901,0.525345754654899
"9","2022090800 299","left","LA",47853,"BUF",37075,47792,10,15.2395999726269,-9.20040002737306,59.717932637908,-0.105841165,54.1425968308152,0.52048777280779
"10","2022090800 299","left","LA",47853,"BUF",47792,47792,10,15.2395999726269,-9.20040002737306,59.717932637908,-0.105841165,59.717932637908,0.557037310867491
"11","2022090800 3145","left","LA",47853,"BUF",53459,46085,15,29.7937913602498,-29.7937913602498,82.4758238341487,1.852996814,79.5600085254635,0.709434977521847
"12","2022090800 3145","left","LA",47853,"BUF",46085,46085,15,29.7937913602498,-29.7937913602498,82.4758238341487,1.852996814,82.4758238341487,0.728549826615649
"13","2022090800 3145","left","LA",47853,"BUF",41341,46085,15,29.7937913602498,-29.7937913602498,82.4758238341487,1.852996814,72.8151844820938,0.665218770353571
"14","2022090800 3283","right","BUF",47857,"LA",38577,38577,15,10.8925840393282,7.8874159606719,72.2036777192261,-0.054717398,72.2036777192261,0.661209991245636
"15","2022090800 3283","right","BUF",47857,"LA",52846,38577,15,10.8925840393282,7.8874159606719,72.2036777192261,-0.054717398,70.9366373497237,0.652903811705851
"16","2022090800 3283","right","BUF",47857,"LA",43298,38577,15,10.8925840393282,7.8874159606719,72.2036777192261,-0.054717398,65.649824012048,0.61824570464545
"17","2022090800 3341","left","LA",47853,"BUF",46232,52462,8,16.499323054987,-10.300676945013,64.6924130437426,0.752520209,56.7582186974736,0.528706109524841
"18","2022090800 3341","left","LA",47853,"BUF",52462,52462,8,16.499323054987,-10.300676945013,64.6924130437426,0.752520209,64.6924130437426,0.58071932420208
"19","2022090800 3362","left","LA",47853,"BUF",46085,52462,6,20.7004926632919,-17.7395073367081,80.3262345080984,-0.722854386,65.1227238695022,0.574611688130191
"20","2022090800 3362","left","LA",47853,"BUF",52462,52462,6,20.7004926632919,-17.7395073367081,80.3262345080984,-0.722854386,80.3262345080984,0.674279458817566
"21","2022090800 3362","left","LA",47853,"BUF",46232,52462,6,20.7004926632919,-17.7395073367081,80.3262345080984,-0.722854386,74.5763956263564,0.63658595257566
"22","2022090800 343","left","LA",47853,"BUF",44976,47792,12,21.8097847765666,-21.8097847765666,70.2631298355613,-0.737179452,68.3429511133442,0.622507847110547
"23","2022090800 343","left","LA",47853,"BUF",37075,47792,12,21.8097847765666,-21.8097847765666,70.2631298355613,-0.737179452,40.5041160704067,0.440008245984255
"24","2022090800 343","left","LA",47853,"BUF",46085,47792,12,21.8097847765666,-21.8097847765666,70.2631298355613,-0.737179452,65.8921089394171,0.606441164777205
"25","2022090800 343","left","LA",47853,"BUF",47792,47792,12,21.8097847765666,-21.8097847765666,70.2631298355613,-0.737179452,70.2631298355613,0.635095724812876
"26","2022090800 3636","right","LA",47853,"BUF",53490,53490,6,15.0089435962857,15.0089435962857,77.8930123672492,-0.747978361,77.8930123672492,0.658328285951612
"27","2022090800 3636","right","LA",47853,"BUF",46085,53490,6,15.0089435962857,15.0089435962857,77.8930123672492,-0.747978361,58.732775474625,0.532721895274849
"28","2022090800 3636","right","LA",47853,"BUF",42395,53490,6,15.0089435962857,15.0089435962857,77.8930123672492,-0.747978361,57.3928827738923,0.523938126735016
"29","2022090800 896","right","BUF",54528,"LA",53532,43298,11,9.00417931686648,9.00417931686648,61.2322122121025,-4.717964267,44.9473718714131,0.464672061720158
"30","2022090800 896","right","BUF",54528,"LA",43298,43298,11,9.00417931686648,9.00417931686648,61.2322122121025,-4.717964267,61.2322122121025,0.57142857153809
"31","2022091100 1046","right","ATL",39975,"NO",53489,37097,6,11.586982629396,11.586982629396,63.03530375539,0.617897772,52.7161542249088,0.493279476922658
"32","2022091100 1046","right","ATL",39975,"NO",37097,37097,6,11.586982629396,11.586982629396,63.03530375539,0.617897772,63.03530375539,0.560927446759426
